cc_num,index,first,last,sex,street,city,state,zip,lat,long,city_pop,job,dob
630451534402,1169,Rachel,Daniels,F,561 Little Plain Apt. 738,Wetmore,MI,49895.0,46.3535,-86.6345,765.0,IMMUNOLOGIST,"Jun 12, 1972"
630469040731,824,Meredith,Ayala,F,7107 Henderson Station,Cascade Locks,OR,97014.0,45.67100000000001,-121.8686,1288.0,Barrister,01/05/1936
630471368021,726,George,Floyd,M,22502 Baker Mount Suite 241,Hazel,KY,42049.0,36.5422,-88.3319,1480.0,"Designer, interior/spatial",14-Sep-1974
630484879808,675,Ian,Patton,M,8088 Sherman Radial Suite 689,Helm,CA,93627.0,36.4992,-120.0936,123.0,Early years teacher,07/02/1973
639023984367,500,Destiny,Lowe,F,79472 Stevens Trace Apt. 120,Hannawa Falls,NY,13647.0,44.6087,-74.9732,69.0,Chief Executive Officer,"Jun 05, 1991"
639030014711,471,Stephen,Lopez,M,696 Matthew Ford Suite 157,Olmsted,IL,62970.0,37.1935,-89.0933,639.0,Mechanical engineer,01-Aug-1982
639046421587,102,Dylan,Bonilla,M,2497 John Motorway Suite 922,Leetsdale,PA,15056.0,40.5662,-80.2099,1140.0,"ADMINISTRATOR, EDUCATION",20/06/1986
639095706599,1250,Kyle,Wilkinson,M,93970 Trujillo Causeway,Curlew,IA,50527.0,42.9633,-94.7975,223.0,Estate manager/land agent,14/04/1939
675945690716,871,Ellen,Smith,F,285 George Lake,Beaver Falls,PA,15010.0,40.7687,-80.3592,28425.0,PODIATRIST,09-Jun-2000
675961917837,1614,Christopher,Cummings,M,478 George Course Apt. 056,Sprague,NE,68438.0,40.6267,-96.7456,142.0,CHIROPODIST,24/08/1967
675990301623,628,Amanda,Spencer,F,6682 Green Forks,Ogdensburg,NJ,7439.0,41.0767,-74.5982,2456.0,SENIOR TAX PROFESSIONAL/TAX INSPECTOR,13-Mar-1994
676102124465,1443,Natasha,Mclaughlin,F,8699 Lindsay Ford Apt. 486,Napa,CA,94558.0,38.4549,-122.2564,94014.0,AIRLINE PILOT,21-Aug-1985
676148621961,1717,Jennifer,Vega,F,91644 Crystal Drives,Eagarville,IL,62023.0,39.1118,-89.7855,91.0,Materials engineer,18/11/1962
676173792455,514,Brittany,Cox,F,07177 William Dale Apt. 547,Santa Monica,CA,90403.0,34.0287,-118.4924,92043.0,"CIVIL ENGINEER, CONTRACTING","Apr 25, 1961"
676195318214,261,Brandy,Quinn,F,9734 Beard Fields Suite 885,Altair,TX,77412.0,29.6047,-96.5249,106.0,"Editor, film/video","Jul 24, 1983"
676234256292,790,David,Vasquez,M,06539 Gregory Mountains Suite 029,Parker Dam,CA,92267.0,34.298,-114.156,126.0,MARKETING EXECUTIVE,"Oct 07, 1992"
676245600876,131,Ashley,Blanchard,F,292 Lowe Dam Suite 858,West Palm Beach,FL,33417.0,26.7197,-80.1248,459921.0,HISTORIC BUILDINGS INSPECTOR/CONSERVATION OFFICER,14/06/1960
676248282243,458,Amanda,Wheeler,F,329 Emily Cape,Cape Coral,FL,33909.0,26.6939,-81.9452,156391.0,HIGHER EDUCATION CAREERS ADVISER,"Feb 09, 1968"
676275912597,876,Edward,Hensley,M,24318 Dixon Mills,Elk Rapids,MI,49629.0,44.8955,-85.4082,2223.0,Chief Financial Officer,18-Jan-1986
676281772837,713,Alicia,Bishop,F,222 Freeman Islands,Whigham,GA,39897.0,30.8836,-84.3246,3430.0,"EDITOR, COMMISSIONING",25/03/1950
676298633337,520,Jessica,Werner,F,4529 Cannon Alley,Center Point,WV,26339.0,39.4125,-80.6352,255.0,CHIEF EXECUTIVE OFFICER,"Dec 10, 1971"
676308307625,1999,Donald,Evans,M,1287 Michael Roads,Washoe Valley,NV,89704.0,39.2669,-119.8174,4290.0,ANIMAL NUTRITIONIST,"Dec 10, 1989"
676309913934,1184,Robert,Martinez,M,3683 Parrish Circles,Pueblo,CO,81005.0,38.2352,-104.66,151815.0,FURTHER EDUCATION LECTURER,"Jan 04, 1988"
676314217768,1997,Ellen,Carrillo,F,9431 Amanda Mills,Odessa,MO,64076.0,38.9829,-93.9757,9512.0,CLINICAL RESEARCH ASSOCIATE,"Dec 31, 1972"
676326610042,499,Jacqueline,Caldwell,F,54220 April Union Suite 403,Riverview,MI,48193.0,42.1782,-83.2461,15623.0,WRITER,"Nov 02, 1993"
676369110710,804,David,Wolfe,M,81261 Garcia Underpass Suite 741,Southfield,MI,48034.0,42.4969,-83.2911,75830.0,"ENGINEER, AUTOMOTIVE",28/12/1974
676372984911,40,Vicki,Mendoza,F,3645 Atkins Island Apt. 238,Esbon,KS,66941.0,39.7562,-98.4462,242.0,TOURISM OFFICER,18-Jul-1987
4006047418382,470,Robert,Sanchez,M,7314 Johnson Square Apt. 296,Parkers Lake,KY,42634.0,36.8347,-84.4436,1565.0,"DESIGNER, INDUSTRIAL/PRODUCT",24/07/1968
4066595222529,870,Jamie,Olson,F,3423 Michael Canyon Suite 276,River,KY,41254.0,37.8795,-82.7251,571.0,QUARRY MANAGER,"Mar 07, 1931"
4079773899158,175,Eric,Preston,M,7020 Doyle Stream Apt. 951,Mesa,ID,83643.0,44.6255,-116.4493,129.0,Cartographer,15/12/1965
4149635823017,712,Samuel,Farrell,M,428 Michael Tunnel Apt. 377,Cleveland,AL,35049.0,33.9778,-86.5598,3996.0,AID WORKER,14/06/1977
4158008602445,1727,Alicia,Miller,F,976 Hubbard Lodge,Randolph,MN,55065.0,44.5274,-93.0196,1201.0,Barrister,27/12/1979
4169388510116,361,Marcia,Molina,F,6744 Jimmy Extensions,Port Gibson,NY,14537.0,43.033,-77.1575,207.0,Database administrator,27/09/1962
4186530744674,139,Casey,Howell,F,374 Christopher Ramp Suite 855,Blackville,SC,29817.0,33.3645,-81.2718,4913.0,Technical brewer,10/11/1966
4189814094741,1224,Jason,Farmer,M,33165 Larry Walks Suite 960,Ragland,AL,35131.0,33.7367,-86.1619,4159.0,Educational psychologist,03/02/1998
4195740185974,222,Benjamin,Robinson,M,0701 John Ranch,Portland,OR,97210.0,45.5303,-122.7033,841711.0,"ENGINEER, BUILDING SERVICES",04-Apr-1963
4198470814557,95,Christie,Williamson,F,519 Jerry Views,Avoca,IA,51521.0,41.4768,-95.3509,2036.0,Engineering geologist,"Aug 20, 1971"
4220345354880,214,Patrick,Torres,M,27386 Snyder Station,Oxford,MI,48371.0,42.8223,-83.2829,24840.0,Agricultural consultant,20-Jan-1960
4239436242473,729,James,Leon,M,826 Benjamin Stravenue,Alexandria,VA,22311.0,38.832,-77.12,321490.0,"SCIENTIST, BIOMEDICAL",04-Oct-1991
4247921790666,640,Judith,Moss,F,46297 Benjamin Plains Suite 703,Washington Court House,OH,43160.0,39.537,-83.455,22305.0,TELEVISION FLOOR MANAGER,09/03/1939
4259996134423,579,Julie,Johnson,F,9331 Robert Passage Suite 327,Hudson,KS,67545.0,38.1485,-98.6408,215.0,PROBATION OFFICER,"Nov 22, 1968"
4294930380592,1061,Misty,Rivera,F,1980 Vasquez Manors Apt. 574,Catawba,VA,24070.0,37.3696,-80.1284,1363.0,Equality and diversity officer,23/08/1940
4306630852918,1268,Maureen,Garza,F,169 Edward Inlet,Saint Louis,MO,63131.0,38.6171,-90.4504,927396.0,Occupational hygienist,"Mar 12, 1960"
4393520897625,182,Charles,Rodriguez,M,240 Tracy Forges,Easton,KS,66020.0,39.3391,-95.0999,1442.0,Air broker,20/05/1982
4440581794652,922,Karen,Cooper,F,425 Caleb Point Apt. 050,San Diego,CA,92128.0,33.0067,-117.069,1241364.0,"Pharmacist, hospital",01/03/1960
4464457352619,404,Breanna,Rodriguez,F,118 Cabrera Springs Apt. 105,Lanark Village,FL,32323.0,29.8826,-84.5964,217.0,TELEVISION PRODUCTION ASSISTANT,24/01/1990
4471568287204,395,Dakota,Maldonado,M,369 Cochran Radial,Pelham,NC,27311.0,36.4899,-79.4736,3402.0,Insurance underwriter,24/10/1927
4476840372112,960,Steven,Walters,M,3206 Hall Divide Suite 282,Woodville,AL,35776.0,34.6689,-86.2296,3395.0,"EDITOR, COMMISSIONING",21-Jan-1979
4481131401752,78,Frank,Foster,M,37910 Ward Lights,Shrewsbury,MA,1545.0,42.2848,-71.7205,35299.0,ENGLISH AS A SECOND LANGUAGE TEACHER,30/04/1975
4500002361389,838,Joseph,Nixon,M,86882 Desiree Camp Suite 047,Tyaskin,MD,21865.0,38.2833,-75.8465,470.0,Music tutor,"Apr 07, 1965"
4505383113689,310,Alicia,Hawkins,F,507 John Overpass Suite 424,Harwood,MD,20776.0,38.8582,-76.6145,3289.0,QUANTITY SURVEYOR,15/03/1933
4538566639857,167,Jerry,Kelly,M,3539 Mckenzie Stream,Fairview,NJ,7022.0,40.817,-74.0,13835.0,"PROGRAMMER, MULTIMEDIA",28-May-1967
4561546772499,801,Daniel,Briggs,M,7118 Jessica Unions Apt. 789,Moriarty,NM,87035.0,34.9889,-106.0609,7268.0,"Therapist, art","Aug 04, 1988"
4561892980175,224,Jacqueline,Allen,F,166 Lisa Fords,Greenwood,IN,46143.0,39.596,-86.1309,78968.0,FINANCIAL ADVISER,"Feb 10, 1968"
4585132874641,498,Karen,Gordon,F,543 Ware Path Apt. 593,Utica,MO,64686.0,39.7417,-93.6289,271.0,Land/geomatics surveyor,"Apr 18, 1972"
4586260469584,241,Melody,Thompson,F,0362 Anderson Wall,Mound City,MO,64470.0,40.1362,-95.2138,1631.0,Architect,20-Jan-1953
4601636330889,1158,Mark,Rivera,M,383 Contreras Hills Suite 658,Humble,TX,77338.0,30.0041,-95.2825,194500.0,Tax adviser,18-Dec-1990
4605902936394,1162,Vincent,Mueller,M,79019 Taylor Cliffs,Dallas,TX,75238.0,32.876999999999995,-96.708,1263321.0,DRILLING ENGINEER,28/06/1959
4613314721966,1023,Jason,Murphy,M,542 Steve Curve Suite 011,Collettsville,NC,28611.0,35.9946,-81.7266,885.0,SOIL SCIENTIST,"Sep 15, 1988"
4623560839669,163,Vincent,Waller,M,9379 Vanessa Run Apt. 400,Lohrville,IA,51453.0,42.2619,-94.5566,695.0,Administrator,15-Jul-1954
4640395708703,504,Melissa,Krause,F,67632 Martin Gateway,Fordoche,LA,70732.0,30.6576,-91.6264,1178.0,Community education officer,13-Jun-1951
4642894980163,10,Eddie,Mendez,M,1831 Faith View Suite 653,Clarinda,IA,51632.0,40.7491,-95.038,7297.0,IT TRAINER,13/07/1990
4658117080136,1690,Dwayne,Martinez,M,490 Baldwin Alley Apt. 468,Crownpoint,NM,87313.0,35.7206,-108.0271,5662.0,IT CONSULTANT,08-Apr-1989
4681699462969,226,Joseph,Gonzalez,M,319 Wendy Fort Suite 179,Murfreesboro,TN,37132.0,35.8596,-86.421,158701.0,"Journalist, newspaper",06/03/1978
4683638447911,123,Daniel,Boyd,M,8925 Nicholas Points,Egan,LA,70531.0,30.251,-92.5002,1261.0,BROADCAST PRESENTER,01/07/1972
4687263141103,79,Sarah,Cross,F,273 Phillip Throughway,Bigelow,MN,56117.0,43.5336,-95.6515,399.0,ECONOMIST,28/04/1977
4745996322265,201,Carrie,Washington,F,6114 Adams Harbor Suite 096,Kingsford Heights,IN,46346.0,41.4802,-86.6919,1423.0,"PSYCHOLOGIST, FORENSIC",07-Oct-1998
4755696071492,1085,Robert,Evans,M,01892 Patricia Vista Apt. 828,Sachse,TX,75048.0,32.9643,-96.6012,20328.0,SITE ENGINEER,20-Jun-1985
4783226709001,569,Jessica,Garcia,F,13108 Jennifer Passage,Mc Cracken,KS,67556.0,38.5957,-99.554,320.0,FILM/VIDEO EDITOR,22/04/1961
4788103653396,1259,Kristin,Williams,F,36366 Smith Road,Miamisburg,OH,45342.0,39.6321,-84.2675,36784.0,"Investment banker, corporate",31-Jul-1941
4807552641361,493,Kimberly,Castro,F,588 Smith Lights Suite 786,Rosewood,OH,43070.0,40.2158,-83.9579,133.0,PROFESSOR EMERITUS,"Jan 29, 1954"
4809701904914,1228,Sabrina,Nolan,F,312 Eric Expressway Apt. 014,Phenix City,AL,36869.0,32.4204,-85.0796,59744.0,Chemical engineer,07/02/1984
4862293128558,299,Elizabeth,Payne,F,897 Daugherty Mission,Grassflat,PA,16839.0,41.0036,-78.1104,489.0,PENSION SCHEME MANAGER,15/09/1956
4900628639996,1592,Michael,Johnson,M,094 Owens Underpass,Norwalk,CA,90650.0,33.9056,-118.0818,105549.0,FIREFIGHTER,22/09/1973
4981132848794,81,Joseph,Spencer,M,7854 Stephanie Island Suite 788,Holloway,OH,43985.0,40.0113,-80.9701,128.0,Child psychotherapist,03/04/1946
4988304376504,259,William,Thompson,M,977 Rita Grove Apt. 000,Rock Tavern,NY,12575.0,41.4575,-74.1659,2258.0,BUILDING SURVEYOR,17-Mar-1937
4990494243023,1330,Martin,Ford,M,56812 Francis Courts,Corriganville,MD,21524.0,39.6967,-78.8031,626.0,Energy engineer,"Dec 13, 1960"
30011465039817,41,Lisa,Garcia,F,213 Gill Expressway,Chatham,NY,12037.0,42.3496,-73.5873,4015.0,HUMAN RESOURCES OFFICER,"Oct 14, 1971"
30026790933302,710,John,Peters,M,555 Michael Burgs,Mayersville,MS,39113.0,32.9013,-91.0286,595.0,Technical brewer,03/09/1979
30029052116970,575,Curtis,Young,M,4319 Watson Shoals Suite 658,Falconer,NY,14733.0,42.1239,-79.1895,3833.0,Metallurgist,09/10/1970
30030380240193,416,William,Jenkins,M,50614 Kevin Point,Harper,TX,78631.0,30.2816,-99.241,2395.0,"PHARMACIST, COMMUNITY",17/11/1993
30042378430132,430,Connor,Grant,M,0654 Kevin Turnpike Apt. 084,Northport,NY,11768.0,40.9051,-73.3309,21902.0,TOUR MANAGER,16/05/1976
30044330818990,647,Allison,Ayala,F,87665 Karen Mill Apt. 586,Fort Myers,FL,33967.0,26.4722,-81.8122,224256.0,Paramedic,29-Aug-1985
30074693890476,6,Kelsey,Richards,F,889 Sarah Station Suite 624,Holcomb,KS,67851.0,37.9931,-100.9893,2691.0,ARBORICULTURIST,"Aug 16, 1993"
30082025922891,321,Kathleen,Thompson,F,199 Patterson Fords Apt. 132,Naples,FL,34112.0,26.1184,-81.7361,276002.0,"Pilot, airline",23/06/1934
30092964733035,184,Jessica,Terry,F,6412 Elizabeth Gardens Suite 633,Maysville,KY,41056.0,38.6207,-83.8067,14228.0,ADVERTISING ACCOUNT EXECUTIVE,26-Mar-1971
30103132002433,1822,Stephanie,Middleton,F,99736 Rose Shoals Apt. 504,Morrisdale,PA,16858.0,41.0001,-78.2357,3688.0,Dispensing optician,26/10/1987
30131826429364,724,Brianna,Foley,F,57256 Raymond Ports,Knoxville,TN,37932.0,35.9335,-84.1481,391389.0,"Designer, industrial/product","Apr 22, 1994"
30135235368675,597,Amanda,Williams,F,02018 Gary Key Apt. 911,Independence,MO,64058.0,39.1412,-94.3515,123373.0,"ENGINEER, PRODUCTION",27/11/1992
30143535920989,385,Lisa,Collins,F,44197 Jeffrey Port Suite 050,Bridgeport,NJ,8014.0,39.8016,-75.3478,504.0,"Engineer, control and instrumentation",17/08/1980
30153452207526,452,Robin,Smith,F,0537 Margaret Common Suite 526,Coleman,TX,76834.0,31.8287,-99.427,5908.0,RADIO PRODUCER,05/04/1962
30175986190993,528,Rebecca,Butler,F,0665 Lisa Alley,Winger,MN,56592.0,47.5375,-95.9941,516.0,APPLICATIONS DEVELOPER,07/06/1966
30181367542315,490,Danielle,Walker,F,9824 Mitchell Run,Powell Butte,OR,97753.0,44.2415,-121.0113,2016.0,LOCAL GOVERNMENT OFFICER,25/12/1953
30197398657930,598,April,Johnson,F,9727 Deleon Mountain,Creedmoor,NC,27522.0,36.1124,-78.6476,12335.0,CHIEF STRATEGY OFFICER,"Sep 19, 1987"
30199621383748,1719,Theresa,Powell,F,117 Natasha Vista Suite 936,Leonard,TX,75452.0,33.4044,-96.2238,4090.0,SUB,23-Mar-1977
30230540139182,651,Hayden,Sanders,M,8465 Reed Green Suite 559,Montandon,PA,17850.0,40.9661,-76.8575,645.0,Orthoptist,"May 18, 1974"
30234966027947,634,Matthew,Lambert,M,7188 Melissa Crest Apt. 151,New Holstein,WI,53061.0,43.9446,-88.0911,5196.0,CHILD PSYCHOTHERAPIST,22-Jan-1978
30235268718158,242,Kenneth,Doyle,M,8614 Reed Glen,West Harrison,NY,10604.0,41.0592,-73.7395,11250.0,Lexicographer,16-Aug-1977
30235438713303,1642,James,Baldwin,M,3603 Mitchell Court,Winfield,WV,25213.0,38.5072,-81.89,5512.0,Exhibition designer,"Mar 24, 1980"
30238755902988,495,Danielle,Yu,F,5395 Colon Burgs Suite 037,Thrall,TX,76578.0,30.592,-97.2893,1766.0,PRESS SUB,"Jan 02, 1976"
30242921189660,239,Dalton,Jones,M,3304 Hernandez Run,Afton,MI,49705.0,45.3637,-84.4695,937.0,Technical brewer,06/04/1958
30248898834493,769,Michael,Rodriguez,M,172 Paula Inlet Apt. 650,Cross Plains,TX,76443.0,32.1482,-99.1872,1897.0,Chief Operating Officer,19/04/1953
30263540414123,753,Erik,Patterson,M,162 Jessica Row Apt. 072,Hatch,UT,84735.0,37.7175,-112.4777,258.0,GEOSCIENTIST,24-Nov-1961
30266994494236,765,Sarah,Foster,F,77872 Andrea Glen Apt. 543,Ford,VA,23850.0,37.1349,-77.7364,1051.0,Chief Operating Officer,21-Nov-1976
30270432095985,122,Lisa,Lin,F,908 Brooks Brook,Lomax,IL,61454.0,40.6761,-91.0391,725.0,ENVIRONMENTAL CONSULTANT,"Nov 28, 1972"
30273037698427,72,Andrew,Patterson,M,06959 Stephen Branch Suite 246,Thida,AR,72165.0,35.5762,-91.4539,111.0,CAREERS INFORMATION OFFICER,"Jun 13, 2000"
30290551782700,484,John,Clarke,M,27909 Peter Motorway,Cadiz,KY,42211.0,36.802,-87.8286,13422.0,Commissioning editor,03-Sep-1961
30328384440870,302,Helen,Campbell,F,182 Sergio Summit Apt. 129,Browning,MO,64630.0,40.029,-93.1607,602.0,Cytogeneticist,14/07/1954
30343344410970,643,Jacob,Dawson,M,663 Anna Plaza,Marienville,PA,16239.0,41.4622,-79.1306,4172.0,"COPYWRITER, ADVERTISING",20/03/1962
30344654314976,190,Christine,Johnson,F,8011 Chapman Tunnel Apt. 568,Blairsden-Graeagle,CA,96103.0,39.8127,-120.6405,1725.0,Chartered legal executive (England and Wales),27/05/1967
30360260465747,1699,Jennifer,Garcia,F,28777 Stewart Plains Apt. 495,Putnam,IL,61560.0,41.1949,-89.4409,754.0,"Presenter, broadcasting",13-May-1962
30364087349027,1166,Samuel,Sandoval,M,0005 Morrison Land,Mounds,OK,74047.0,35.8896,-96.0887,7163.0,Fitness centre manager,"Feb 05, 1982"
30371006069917,387,Robert,James,M,92021 Miranda Meadows,Tamaroa,IL,62888.0,38.138000000000005,-89.2231,2135.0,"DEVELOPMENT WORKER, COMMUNITY","Jan 31, 1961"
30373802285317,1722,Nicholas,Osborne,M,7538 Carrie Meadow Suite 574,Claremont,CA,91711.0,34.1092,-117.7183,35705.0,WELLSITE GEOLOGIST,15/05/1956
30376238035123,109,Cynthia,Davis,F,7177 Steven Forges,Sixes,OR,97476.0,42.825,-124.4409,217.0,RETAIL MERCHANDISER,"Oct 01, 1928"
30404291151692,55,Savannah,Lewis,F,537 Walker Freeway,North Tonawanda,NY,14120.0,43.0498,-78.851,45100.0,Ambulance person,25/10/1993
30407675418785,415,Danielle,Evans,F,76752 David Lodge Apt. 064,Breesport,NY,14816.0,42.1939,-76.7361,520.0,PSYCHOTHERAPIST,13-Oct-1991
30428204673351,636,Greg,Villarreal,M,2851 Foster Shoals,Schaefferstown,PA,17088.0,40.3087,-76.2963,823.0,Gaffer,02/07/1982
30434173205605,565,Kylie,Kirby,F,79816 Jackson Squares,Shedd,OR,97377.0,44.453,-123.1065,917.0,Radio broadcast assistant,08/07/1995
30442439074871,159,Linda,Sanchez,F,6574 William Hill Apt. 375,Jermyn,PA,18433.0,41.5744,-75.5881,6508.0,Training and development officer,22-Jun-1981
30487648872433,74,Stephanie,Crane,F,144 Martinez Curve,Central,IN,47110.0,38.097,-86.1723,350.0,Counsellor,"Jan 05, 1955"
30491348102802,468,Tommy,Dixon,M,8829 Steele Station,Dresden,KS,67635.0,39.6094,-100.4112,169.0,"LIBRARIAN, PUBLIC","Jul 30, 1953"
30501624614310,1180,Amanda,Smith,F,180 Graves Shore,Scotia,SC,29939.0,32.6786,-81.2455,302.0,Magazine features editor,04-May-1973
30510856607165,1495,Frederick,Robinson,M,1125 Ray Track,Livonia,MI,48154.0,42.3958,-83.3772,96942.0,Horticultural consultant,"Apr 01, 1965"
30518196150127,1024,Karen,Sullivan,F,6313 Scott Trace,Rossville,IL,60963.0,40.3625,-87.6692,1807.0,"Buyer, retail","Jun 02, 1975"
30546453310167,1403,Nicholas,Tran,M,672 Randall Burg Suite 551,Belmont,NH,3220.0,43.4512,-71.48899999999999,7430.0,"Scientist, research (medical)",13/01/1955
30551643947183,918,Morgan,Smith,F,1441 Bradley Place,Grover,NC,28073.0,35.1836,-81.4552,5621.0,Toxicologist,"Nov 14, 1973"
30560609640617,963,Michael,Olson,M,558 Michael Estates,Luray,MO,63453.0,40.4931,-91.8912,519.0,TOWN PLANNER,13-Feb-1966
30561214688470,38,Gina,Morrison,F,41851 Victor Drives Suite 219,Allentown,PA,18103.0,40.5891,-75.4645,166081.0,"Scientist, research (maths)","Oct 01, 1998"
30596478689301,1088,Daniel,Graham,M,28223 Ward Summit Apt. 664,Arvada,CO,80005.0,39.8422,-105.1097,122111.0,Hotel manager,23/05/1987
36078114201167,213,Christopher,Horn,M,956 Sanchez Highway,Mallie,KY,41836.0,37.2692,-82.9161,798.0,FACILITIES MANAGER,26/06/1926
36153880429415,553,Erik,Stevens,M,84033 Pitts Overpass,Lakeland,FL,33809.0,28.1762,-81.9591,237282.0,Plant breeder/geneticist,"Oct 13, 1949"
